z,theta_deg,n_distinct,pitch_um,span_um,counted_over_expected
16,0.0,148,280.8,32987.520000000004,1.2491884170886898
16,5.625,124,259.20000000000005,30024.000000000004,1.0613409415121255
16,11.25,109,207.36,27501.120000000003,0.8157156220767072
16,16.875,117,349.92,27190.08,1.4865882352941175
16,22.5,89,259.20000000000005,26568.0,0.8599033816425121
16,28.125,83,302.40000000000003,24831.36,0.9986249570299072
16,33.75,122,220.32000000000002,25911.36,1.0285997685567863
16,39.375,112,345.6,26058.24,1.4659685863874345
16,45.0,135,362.88,24935.04,1.9364754098360657
16,50.625,117,397.44000000000005,26049.600000000002,1.7582489382554722
16,56.25,127,406.08000000000004,25392.960000000003,1.9989953114534496
16,61.875,128,501.12,25073.280000000002,2.5081081081081082
16,67.5,125,285.12,25185.600000000002,1.3992537313432836
16,73.125,123,492.48,25176.960000000003,2.3598115112756646
16,78.75,135,306.72,24986.88,1.637062339880444
16,84.375,124,328.32000000000005,26179.2,1.5358539765319426
16,90.0,124,475.20000000000005,25272.0,2.2885906040268456
16,95.625,109,423.36,25332.480000000003,1.791680644079168
16,101.25,125,457.92,25721.280000000002,2.1864686468646863
16,106.875,137,423.36,25833.600000000002,2.2089503126028296
16,112.5,130,570.24,25850.88,2.805755395683453
16,118.125,134,432.0,24727.68,2.3008241758241756
16,123.75,138,444.96000000000004,24649.920000000002,2.446892752625237
16,129.375,134,496.8,25194.24,2.591222465108458
16,135.0,131,423.36,24062.4,2.2649964714184896
16,140.625,124,596.1600000000001,23621.760000000002,3.0524438102033535
16,146.25,131,457.92,23198.4,2.535792549306063
16,151.875,124,406.08000000000004,23993.280000000002,2.0637393767705383
16,157.5,127,725.76,23699.52,3.7736116024053765
16,163.125,139,915.84,25289.280000000002,4.857896472139796
16,168.75,129,561.6,24848.640000000003,2.8510710642638557
16,174.375,146,864.0,26352.0,4.634920634920635
16,180.0,158,838.08,32244.480000000003,4.002611647949856
16,185.625,145,336.96000000000004,32391.36,1.4928722280887012
16,191.25,134,388.8,29721.600000000002,1.7302725968436155
16,196.875,133,509.76000000000005,27224.640000000003,2.4445482866043613
16,202.5,116,388.8,28261.440000000002,1.5741857659831122
16,208.125,107,345.6,27993.600000000002,1.3048780487804879
16,213.75,109,276.48,27829.440000000002,1.0722410083000307
16,219.375,104,298.08000000000004,27146.88,1.1295450968046592
